time,price
1/12/2022,2377
1/11/2022,2227
1/10/2022,2155.5
1/9/2022,2363
1/8/2022,2497
1/7/2022,2476
1/6/2022,2792
1/5/2022,3051
1/4/2022,3467
1/3/2022,3454
1/2/2022,3034
1/1/2022,2796
1/12/2021,2620.75
1/11/2021,2735.25
1/10/2021,2854.75
1/9/2021,2707
1/8/2021,2597.75
1/7/2021,2522.75
1/6/2021,2506.5
1/5/2021,2412
1/4/2021,2215.5
1/3/2021,2158.5
1/2/2021,1976
1/1/2021,1979.75
1/12/2020,2039.25
1/11/2020,1847.5
1/10/2020,1801.25
1/7/2020,1619
1/6/2020,1547.25
1/5/2020,1488
1/4/2020,1525.25
1/3/2020,1699.25
1/2/2020,1725.75
1/1/2020,1809.25
1/12/2019,1759.75
1/11/2019,1753.5
1/10/2019,1750
1/9/2019,1756
1/8/2019,1800.25
1/7/2019,1793.5
1/6/2019,1795
1/5/2019,1809.5
1/4/2019,1912
1/3/2019,1908.75
1/2/2019,1911
1/1/2019,1834.75
1/12/2018,1953
1/11/2018,1956.25
1/10/2018,2053
1/9/2018,2119.75
1/8/2018,2082.5
1/7/2018,2131.75
1/6/2018,2291.5
1/5/2018,2249.25
1/4/2018,2004.75
1/3/2018,0
1/2/2018,2218.5
1/1/2018,2275.5
1/12/2017,2048.5
1/11/2017,2163
1/10/2017,2131.49
1/9/2017,2087.5
1/8/2017,2030.01
1/7/2017,1902.96
1/6/2017,1885.29
1/5/2017,1913.02
1/4/2017,1921.22
1/3/2017,1901.47
1/2/2017,1860.75
1/1/2017,1791.24
1/12/2016,1727.74
1/11/2016,1737.11
1/10/2016,1662.5
1/9/2016,1592.36
1/8/2016,1639.28
1/7/2016,1629.05
1/6/2016,1593.51
1/5/2016,1550.63
1/4/2016,1571.23
1/3/2016,1531.01
1/2/2016,1531.26
1/1/2016,1481.1
1/12/2015,1497.2
1/11/2015,1467.89
1/10/2015,1516.49
1/9/2015,1589.6
1/8/2015,1548.13
1/7/2015,1639.5
1/6/2015,1687.73
1/5/2015,1804.04
1/4/2015,1819.19
1/3/2015,1773.86
1/2/2015,1817.82
1/1/2015,1814.72
1/12/2014,1909.46
1/11/2014,2055.55
1/10/2014,1946.19
1/9/2014,1990.43
1/8/2014,2030.49
1/7/2014,1948.3
1/6/2014,1838.95
1/5/2014,1751.05
1/4/2014,1810.67
1/3/2014,1705.37
1/2/2014,1695.17
1/1/2014,1727.41
1/12/2013,1739.81
1/11/2013,1747.96
1/10/2013,1814.58
1/9/2013,1761.3
1/8/2013,1817.62
1/7/2013,1769.61
1/6/2013,1814.54
1/5/2013,1832.02
1/4/2013,1861.67
1/3/2013,1909.57
1/2/2013,2053.6
1/1/2013,2037.75
1/12/2012,2086.76
1/11/2012,1948.83
1/10/2012,1974.3
1/9/2012,2064.12
1/8/2012,1845.38
1/7/2012,1876.25
1/6/2012,1890.18
1/5/2012,2007.63
1/4/2012,2049.67
1/3/2012,2184.16
1/2/2012,2207.92
1/1/2012,2144.2
1/12/2011,2022.25
1/11/2011,2079.98
1/10/2011,2180.65
1/9/2011,2293.46
1/8/2011,2379.35
1/7/2011,2525.43
1/6/2011,2557.76
1/5/2011,2596.45
1/4/2011,2678.11
1/3/2011,2555.5
1/2/2011,2508.18
1/1/2011,2439.53
1/12/2010,2350.67
1/11/2010,2333.07
1/10/2010,2346.57
1/9/2010,2162.34
1/8/2010,2118.14
1/7/2010,1988.27
1/6/2010,1931.39
1/5/2010,2040.53
1/4/2010,2316.73
1/3/2010,2205.63
1/2/2010,2048.93
1/1/2010,2235.15
1/12/2009,2180.1
1/11/2009,1949.29
1/10/2009,1878.57
1/9/2009,1834.11
1/8/2009,1933.75
1/7/2009,1667.96
1/6/2009,1573.73
1/5/2009,1460.45
1/4/2009,1420.85
1/3/2009,1335.84
1/2/2009,1330.2
1/1/2009,1413.12
1/12/2008,1490.43
1/11/2008,1852.43
1/10/2008,2121.41
1/9/2008,2525.82
1/8/2008,2764.38
1/7/2008,3071.24
1/6/2008,2957.86
1/5/2008,2902.9
1/4/2008,2959.27
1/3/2008,3005.29
1/2/2008,2776.93
1/1/2008,2445.52
1/12/2007,2381.69
